reference_id,sequence_number,image_id,date,time,latitude,longitude
pt00043,3,1136045151866861,2025-04-06,11:33:59,52.433444,13.307171
pt00043,4,118725680774976,2022-04-13,15:08:07,52.433416,13.307011
pt00043,5,162805305700925,2020-04-16,12:57:17,52.433389,13.307167
pt00043,6,126087509922843,2022-07-10,11:21:40,52.433428,13.307126
pt00043,7,1334037207895864,2025-05-12,09:07:21,52.433470,13.307205
pt00043,8,261563995657497,2017-02-20,10:25:50,52.433434,13.307088
pt00045,0,670746179435774,2025-10-15,09:32:18,52.421895,13.311689
pt00045,1,1068040657911420,2023-09-19,09:33:31,52.421899,13.311725
pt00045,2,1116614708842003,2017-02-12,10:11:22,52.421859,13.311719
pt00045,3,1212370564293802,2026-01-19,07:39:20,52.421877,13.311729
pt00045,4,1217238058732047,2020-06-21,11:40:26,52.421835,13.311613
pt00045,5,124979903228678,2021-10-10,10:44:27,52.421892,13.311728
pt00045,6,1329770568934075,2025-10-15,09:32:20,52.421826,13.311560
pt00045,7,138580825475564,2022-07-10,11:30:14,52.421810,13.311598
pt00046,0,1033636987162606,2019-09-20,11:49:33,52.430577,13.313368
pt00046,1,1116676598831255,2014-06-19,15:38:40,52.430512,13.313311
pt00046,2,1153181893232268,2025-05-24,19:23:08,52.430523,13.313232
pt00046,3,1379139089131790,2014-06-12,14:17:53,52.430498,13.313253
pt00047,0,1134814780357213,2017-07-24,13:19:24,52.398138,13.227642
pt00047,1,373268924679503,2020-04-16,11:30:03,52.398183,13.227602
pt00047,2,4188137597905696,2020-04-18,15:19:30,52.398140,13.227625
pt00048,0,533828484449342,2019-09-04,16:12:52,52.391281,13.220053
pt00048,1,161540149256700,2019-09-04,16:12:51,52.391341,13.220138
pt00049,0,1083526588809167,2015-12-27,14:29:16,52.435571,13.255378
pt00049,1,507678154287032,2022-03-26,13:20:38,52.435510,13.255327
pt00049,2,2755328038106982,2022-03-26,13:20:40,52.435535,13.255492
pt00049,3,1281745605588155,2019-07-07,14:43:04,52.435538,13.255538
pt00050,0,135862505250560,2019-08-06,17:55:38,52.424206,13.314753
pt00052,0,1075682114408378,2025-05-24,19:19:36,52.426425,13.331585
pt00052,10,1967849483577896,2023-06-12,16:36:47,52.426356,13.331503
pt00052,1,123167927198805,2022-10-15,10:52:37,52.426382,13.331623
pt00052,2,273634448532651,2023-06-12,16:36:46,52.426418,13.331458
pt00052,3,128647032585678,2017-09-22,14:16:12,52.426384,13.331572
pt00052,4,1415157796585568,2025-05-12,09:13:19,52.426359,13.331448
pt00052,5,159971679783771,2022-04-13,15:14:10,52.426370,13.331550
pt00052,6,160482713031577,2022-04-13,15:14:09,52.426434,13.331507
pt00052,7,1610861062937966,2025-05-12,09:13:18,52.426397,13.331424
pt00052,8,182836798083361,2023-06-12,16:36:48,52.426295,13.331546
pt00052,9,192357620454197,2023-06-12,16:36:48,52.426325,13.331525
pt00053,0,332414285564340,2022-06-12,07:12:55,52.412098,13.227116
pt00054,0,352088033716909,2022-06-12,07:12:11,52.409643,13.228838
pt00055,0,205672165488069,2023-07-27,16:19:21,52.403204,13.055553
pt00055,1,134147719689468,2023-07-26,07:13:47,52.403235,13.055450
pt00055,2,1005278481088357,2024-07-16,15:12:20,52.403106,13.055525
pt00055,3,1023624462361260,2024-08-25,15:25:37,52.403201,13.055517
pt00055,4,1163929771381421,2024-08-25,15:25:35,52.403171,13.055353
pt00055,5,123217003124517,2019-04-07,15:39:30,52.403081,13.055467
pt00055,6,1241184853973211,2024-08-25,15:25:36,52.403185,13.055428
pt00056,0,1658111734581506,2022-06-12,07:12:07,52.409460,13.229127
pt00057,0,380181693762872,2021-09-26,11:16:33,52.446259,13.268229
pt00057,10,525559425424137,2021-07-18,09:45:02,52.446313,13.268277
pt00057,11,198932208736663,2017-02-12,15:15:04,52.446396,13.268169
pt00057,1,1123320171502321,2019-04-07,16:36:06,52.446311,13.268207
pt00057,2,1142372726266379,2021-04-28,12:06:30,52.446289,13.268197
pt00057,3,149592334219488,2022-04-13,14:52:53,52.446368,13.268284
pt00057,4,1184225845427160,2017-06-17,15:35:06,52.446353,13.268242
pt00057,5,149992400413270,2016-09-15,17:57:30,52.446375,13.268139
pt00057,6,166335028757132,2019-04-07,16:36:07,52.446360,13.268237
pt00057,7,167265128980769,2022-03-26,13:27:22,52.446305,13.268317
pt00057,8,178438594070335,2019-07-30,17:21:30,52.446342,13.268258
pt00057,9,184358903666904,2021-07-18,09:45:04,52.446365,13.268312
pt00058,0,498234494661020,2020-01-09,11:24:03,52.363554,13.137235
pt00058,1,135863271910502,2020-01-09,11:04:13,52.363529,13.137197
pt00058,2,168446058438274,2020-01-09,11:24:02,52.363492,13.137244
pt00059,0,1011400393324357,2023-07-26,07:13:02,52.404274,13.062278
pt00059,1,1075105422983062,2020-07-08,10:53:12,52.404276,13.062329
pt00059,2,1090194992366493,2023-07-26,07:13:03,52.404241,13.062119
pt00059,3,1283304975886411,2023-07-26,07:13:03,52.404274,13.062278
pt00059,4,1658285784927266,2024-07-16,14:15:31,52.404264,13.062145
pt00059,5,218261943434503,2017-01-22,13:55:00,52.404265,13.062126
pt00060,0,1063300878188955,2023-11-04,11:36:28,52.421307,13.310675
pt00060,1,1065473711540341,2023-11-04,11:36:30,52.421229,13.310598
pt00060,2,1111656402677644,2020-06-21,11:40:38,52.421315,13.310710
pt00060,3,1171359573339499,2020-04-26,10:35:43,52.421260,13.310551
pt00061,0,422257886434577,2022-06-12,07:12:45,52.411462,13.227227
pt00062,0,1578132039638570,2024-05-09,15:16:34,52.398239,13.065754
pt00062,1,2352087134996684,2024-05-09,15:16:35,52.398219,13.065763
pt00063,0,1241589669580821,2022-03-07,12:40:52,52.412561,13.349800
pt00063,1,1375622156623522,2023-03-26,10:14:41,52.412634,13.350000
pt00063,2,1612403899212195,2023-03-26,10:14:44,52.412631,13.350003
pt00063,3,170601465793666,2023-03-26,10:14:50,52.412614,13.350006
pt00063,4,539942051620511,2023-03-26,10:14:52,52.412611,13.349968
pt00063,5,589008129567278,2022-09-04,12:05:00,52.412626,13.349743
pt00063,6,682003699660661,2022-03-07,12:40:54,52.412661,13.349827
pt00063,7,843209779881316,2021-02-20,13:50:36,52.412637,13.349916
pt00063,8,894136971444502,2021-02-20,13:50:38,52.412690,13.349914
pt00063,9,916014613003549,2023-03-26,10:14:46,52.412627,13.350010
pt00064,0,1016247940430227,2025-04-06,11:33:51,52.433962,13.306666
pt00064,10,742076871574925,2025-05-24,19:25:21,52.434017,13.306647
pt00064,1,1082506842646954,2022-07-10,11:21:26,52.433947,13.306586
pt00064,2,1142879209546112,2017-02-20,10:25:34,52.434034,13.306594
pt00064,3,1153828628782529,2022-04-13,15:07:54,52.434019,13.306435
pt00064,4,1200249093878725,2022-07-10,11:21:24,52.434012,13.306509
pt00064,5,1274505283006336,2017-07-25,12:25:28,52.433990,13.306603
pt00064,6,9645830025453228,2025-05-12,09:07:10,52.434067,13.306607
pt00064,7,1375731877098763,2025-05-12,09:07:10,52.434098,13.306577
pt00064,8,1384144069395091,2025-05-12,09:07:11,52.434034,13.306637
pt00064,9,154018109990522,2017-02-20,10:25:35,52.433968,13.306642
pt00065,0,1113126292496920,2017-06-25,10:44:13,52.391645,13.220647
